,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,makakilo city,21.35,-158.09,82.4,65,40,9.17,US,1604285813
88,labuhan,-6.88,112.21,85.32,66,100,6.58,ID,1604285910
89,nabire,-3.37,135.48,84.16,79,94,4.25,ID,1604285911
90,shingu,33.73,135.98,66.2,93,75,6.93,JP,1604285911
91,aksu,41.12,80.26,45.86,49,0,1.77,CN,1604285911
92,faanui,-16.48,-151.75,79.97,81,0,18.32,PF,1604285911
93,banda aceh,25.48,80.33,73.58,21,0,5.39,IN,1604285911
94,lebu,-37.62,-73.65,53.28,94,82,7.65,CL,1604285678
95,taoudenni,22.68,-3.98,75.31,20,100,14.63,ML,1604285911
96,winnemucca,40.97,-117.74,51.8,23,1,4.7,US,1604285911
97,north battleford,50.33,3.67,64.4,88,100,20.8,FR,1604285805
98,provideniya,64.38,-173.3,26.6,63,20,4.47,RU,1604285700
99,sistranda,63.73,8.83,51.8,66,0,16.11,NO,1604285912
100,kamyzyak,46.11,48.07,39.2,86,34,4.47,RU,1604285912
101,wanxian,30.8,108.39,61.36,63,93,2.55,CN,1604285735
102,deputatskiy,69.3,139.9,-14.17,88,38,5.88,RU,1604285912
103,kiama,-34.68,150.87,73.0,69,92,1.99,AU,1604285709
104,nouakchott,18.09,-15.98,75.2,57,100,10.29,MR,1604285912
105,raudeberg,61.99,5.14,46.99,83,100,24.85,NO,1604285912
106,berlevag,70.86,29.09,43.14,82,100,36.19,NO,1604285912
107,takoradi,4.88,-1.76,77.36,90,67,5.79,GH,1604285912
108,padang,-0.95,100.35,85.35,61,82,4.92,ID,1604285913
109,poplar bluff,51.51,-0.02,64.99,77,90,19.46,GB,1604285913
110,balikpapan,-1.27,116.83,84.2,74,20,4.7,ID,1604285913
111,contamana,-7.33,-75.02,75.79,67,100,1.74,PE,1604285727
112,borovoy,55.43,86.08,32.0,96,0,8.95,RU,1604285913
113,mar del plata,43.4,-4.01,57.2,93,70,5.41,ES,1604285913
114,katsuura,35.13,140.3,73.4,93,75,14.99,JP,1604285913
115,inuvik,68.35,-133.72,12.2,92,87,2.24,CA,1604285838
116,necochea,-38.55,-58.74,54.0,77,8,7.0,AR,1604285913
117,nisia floresta,39.39,21.64,41.0,93,30,2.35,GR,1604285914
118,vila velha,42.03,-8.16,60.01,95,99,8.99,PT,1604285914
119,ayan,56.45,138.17,26.2,98,100,20.31,RU,1604285914
120,newtownards,54.59,-5.69,45.0,93,100,11.41,GB,1604285914
121,chokurdakh,70.63,147.92,-1.43,93,100,12.73,RU,1604285914
122,lata,40.16,-8.33,64.99,92,89,1.21,PT,1604285914
123,tairua,-37.02,175.85,69.01,72,100,8.99,NZ,1604285914
124,sohna,28.25,77.07,59.0,58,0,5.84,IN,1604285914
125,hermanus,-34.42,19.23,61.0,87,91,3.0,ZA,1604285915
126,stromness,58.97,-3.3,48.2,81,8,19.46,GB,1604285915
127,namatanai,-3.67,152.43,84.15,72,63,3.65,PG,1604285915
128,bengkulu,-3.8,102.27,80.82,79,100,1.1,ID,1604285849
129,melfi,41.0,15.65,46.4,87,75,13.87,IT,1604285915
130,pacific grove,38.48,-90.74,33.01,79,0,4.97,US,1604285915
131,carnarvon,-24.87,113.63,73.4,49,40,16.11,AU,1604285915
132,musoma,-1.5,33.8,71.6,64,20,9.08,TZ,1604285915
133,saint-philippe,-21.36,55.77,69.8,64,90,4.7,RE,1604285915
134,port hardy,-7.03,29.76,72.55,71,71,2.08,CD,1604285916
135,lasa,46.62,10.7,48.2,81,75,5.82,IT,1604285916
136,butaritari,3.07,172.79,82.11,79,59,10.29,KI,1604285916
137,vilhena,-12.74,-60.15,71.53,79,100,2.89,BR,1604285916
138,hobart,-42.88,147.33,81.0,44,0,6.93,AU,1604285720
139,zhangye,38.93,100.45,47.95,43,0,2.26,CN,1604285916
140,thompson,55.74,-97.86,21.2,92,75,5.88,CA,1604285836
141,nemuro,43.32,145.57,62.6,67,75,21.92,JP,1604285916
142,puerto del rosario,36.59,-6.23,55.4,93,0,3.36,ES,1604285916
143,farafangana,-22.82,47.83,71.01,75,98,4.79,MG,1604285916
144,vanino,49.09,140.25,47.66,54,99,8.23,RU,1604285917
145,pisco,-13.7,-76.22,64.4,82,90,13.87,PE,1604285917
